"id","lon","lat"
"440338666",13.4385315,52.4772825
"538057637",13.578739,52.4582343
"977657079",13.4903858,52.6171891
"3770254015",13.5197445,52.4973666
"364363337",13.4558164,52.5011202
"3666540067",13.3384366,52.4947915
"4234162689",13.3544811,52.5487229
"1492336686",13.4317848,52.5321626
"1298511709",13.3854369,52.537972
"268726812",13.4451781,52.4789497
"371157962",13.414668,52.5476945
"332555440",13.4658756,52.5062364
"1632227368",13.3059616,52.4174336
"573452398",13.5073798,52.499528
"2424327600",13.6007627,52.4766287
"715203882",13.3224732,52.4888204
"1869023719",13.385819,52.4655002
"4936408725",13.4092711,52.3870475
"565034853",13.288548,52.5106649
"2476268050",13.3299374,52.478841
"4010310541",13.6207446,52.5302632
"392352485",13.5087387,52.4515623
"1400224784",13.3888668,52.4369281
"308719063",13.3262036,52.4274299
"440339696",13.4396888,52.4749812
"576608994",13.389148,52.5499775
"76596388",13.4423197,52.5431994
"571800623",13.3702571,52.4215579
"3343659161",13.3621019,52.4986655
"473696292",13.2612183,52.4444399
"674086086",13.2013519,52.5480636
"1124612201",13.2869838,52.6325774
"703042593",13.4779131,52.4292698
"336117213",13.3077938,52.5067993
"3073150198",13.4208136,52.5242742
"1539485716",13.524681,52.4826375
"2713665583",13.3046189,52.5116978
"287852225",13.5724583,52.5678242
"1914403852",13.3305311,52.5000244
"609146610",13.4570794,52.42958
"3012143573",13.5138426,52.4644311
"1382999356",13.5211971,52.4519052
"2516120286",13.4597629,52.5504319
"833390882",13.3266521,52.4645078
"769365479",13.4129908,52.5028987
"2574350272",13.4545649,52.5926519
"81362602",13.2716196,52.510489
"671210857",13.301616,52.58365
"1963129662",13.4318149,52.4674061
"1641113914",13.5114082,52.4562685
"3337776414",13.2003621,52.5492831
"646579859",13.3429298,52.5034922
"428114308",13.3441921,52.4790182
"270906159",13.7098785,52.4327628
"282744493",13.4687184,52.517371
"459166572",13.3687255,52.5450121
"765341424",13.397257,52.5657093
"602531459",13.353572,52.5492948
"3775184617",13.4299166,52.4864089
"448818334",13.4485423,52.5533264
"664244049",13.2933481,52.4746934
"465560644",13.4884685,52.5125447
"1397070332",13.349704,52.4824046
"440330654",13.436347,52.4803184
"671390314",13.54354,52.523624
"2361562308",13.3833386,52.4838713
"272385919",13.1948184,52.5208942
"3353236089",13.1977213,52.5333159
"472372248",13.6054819,52.5373893
"3157917186",13.3347863,52.470726
"499046359",13.382582,52.5919218
"469201022",13.4168547,52.5721364
"670658040",13.3609228,52.4977903
"3632641432",13.3588471,52.4885088
"3338651114",13.523971,52.4029891
"582854286",13.3684082,52.4193408
"4396193589",13.660795,52.4125675
"645677466",13.3357313,52.5265328
"1833509167",13.2640301,52.4870726
"588552733",13.456251,52.549258
"459785177",13.3354795,52.5595433
"2288123586",13.3561028,52.5207469
"366186442",13.3302765,52.5269197
"1828707071",13.4591942,52.5603111
"304367397",13.1424401,52.5249401
"428114310",13.3550173,52.4857214
"314752277",13.3988143,52.5351745
"419873047",13.3071263,52.4466712
"267860831",13.1879163,52.5372848
"1365702036",13.2388868,52.5424964
"2484338009",13.4358143,52.483576
"2722616195",13.3794057,52.5530897
"661126972",13.3045254,52.5161696
"609142032",13.4536256,52.4292565
"2864491450",13.4354863,52.4230534
"1169920988",13.380108,52.4388221
"1419134521",13.2684032,52.5369057
"506338850",13.4350711,52.46018
"441514950",13.4257482,52.4794014
"1336607982",13.5758664,52.4544865
